func_name,return_type,error_val(s),mubi,biff_key,cfile:linenumber
gageContextCopy,gageContext *,NULL,0,gage,gage/ctx.c:86
gageKernelSet,int,1,0,gage,gage/ctx.c:197
gagePerVolumeAttach,int,1,0,gage,gage/ctx.c:396
gagePerVolumeDetach,int,1,0,gage,gage/ctx.c:455
gageDeconvolve,int,1,0,gage,gage/deconvolve.c:24
gageDeconvolveSeparable,int,1,0,gage,gage/deconvolve.c:206
gageKindCheck,int,1,0,gage,gage/kind.c:31
gageKindVolumeCheck,int,1,0,gage,gage/kind.c:216
gageOptimSigSet,int,1,0,gage,gage/optimsig.c:215
gageOptimSigContextNew,gageOptimSigContext *,NULL,0,gage,gage/optimsig.c:309
gageOptimSigCalculate,int,1,0,gage,gage/optimsig.c:1088
gageOptimSigErrorPlot,int,1,0,gage,gage/optimsig.c:1160
gageOptimSigErrorPlotSliding,int,1,0,gage,gage/optimsig.c:1251
gageVolumeCheck,int,1,0,gage,gage/pvl.c:34
gagePerVolumeNew,gagePerVolume *,NULL,0,gage,gage/pvl.c:55
gageQueryReset,int,1,0,gage,gage/pvl.c:259
gageQuerySet,int,1,0,gage,gage/pvl.c:285
gageQueryAdd,int,1,0,gage,gage/pvl.c:341
gageQueryItemOn,int,1,0,gage,gage/pvl.c:359
gageShapeSet,int,1,0,gage,gage/shape.c:403
gageShapeEqual,int,0,0,gage,gage/shape.c:466
gageStructureTensor,int,1,0,gage,gage/st.c:81
gageStackPerVolumeNew,int,1,0,gage,gage/stack.c:96
gageStackPerVolumeAttach,int,1,0,gage,gage/stack.c:125
gageStackBlurParmCompare,int,1,0,gage,gage/stackBlur.c:123
gageStackBlurParmCopy,int,1,0,gage,gage/stackBlur.c:232
gageStackBlurParmSigmaSet,int,1,0,gage,gage/stackBlur.c:269
gageStackBlurParmScaleSet,int,1,0,gage,gage/stackBlur.c:363
gageStackBlurParmKernelSet,int,1,0,gage,gage/stackBlur.c:387
gageStackBlurParmRenormalizeSet,int,1,0,gage,gage/stackBlur.c:400
gageStackBlurParmBoundarySet,int,1,0,gage,gage/stackBlur.c:412
gageStackBlurParmBoundarySpecSet,int,1,0,gage,gage/stackBlur.c:431
gageStackBlurParmOneDimSet,int,1,0,gage,gage/stackBlur.c:448
gageStackBlurParmNeedSpatialBlurSet,int,1,0,gage,gage/stackBlur.c:460
gageStackBlurParmVerboseSet,int,1,0,gage,gage/stackBlur.c:472
gageStackBlurParmDgGoodSigmaMaxSet,int,1,0,gage,gage/stackBlur.c:484
gageStackBlurParmCheck,int,1,0,gage,gage/stackBlur.c:500
gageStackBlurParmParse,int,1,0,gage,gage/stackBlur.c:547
gageStackBlurParmSprint,int,1,0,gage,gage/stackBlur.c:806
gageStackBlur,int,1,0,gage,gage/stackBlur.c:1388
gageStackBlurCheck,int,1,0,gage,gage/stackBlur.c:1491
gageStackBlurGet,int,1,0,gage,gage/stackBlur.c:1599
gageStackBlurManage,int,1,0,gage,gage/stackBlur.c:1700
gageUpdate,int,1,0,gage,gage/update.c:311
